ME_Lab_#,Sample_ID,Site,European Worms,Lumbricus rubellus?,Lumbricus terrestris?,Aporrectodea caliginosa?,Contamination,Plot,soil_pH,buffer_pH,OM (%),NO3-N (mg/kg),NH4-N (mg/kg),P (lb/A),K (lb/A),Mg (lb/A,Ca (lb/A,Al (mg/kg),B (mg/kg),Cu (mg/kg),Fe (mg/kg),Mn (mg/kg),Na (mg/kg),S (mg/kg),Zn (mg/kg),ECEC (me/100g),K (%),Mg (%),Ca (%),Acidity (%)
8818,SCOPAN 2,Scopan Lake,Y,N,N,Y,Y,2,5.3,5.37,50.5,0.5,8.8,12,400,1171,15629,86,0.8,0.43,37,87,94,26,7,46.6,1.1,10.3,83.7,4.9
8819,BOTANIC 1,Coastal Botanical Gardens,Y,N,N,Y,Y,1,6,5.86,12.2,1.56,7.4,2.4,727,571,4589,99,0.4,0.17,14,42,113,22,1.1,14.7,6.3,16,77.7,0
8820,BOTANIC 2,Coastal Botanical Gardens,N,N,N,N,N,2,5.1,5.32,21.6,0.13,3.7,27.5,422,440,6606,157,0.6,0.46,62,25,61,36,12.3,21.4,2.5,8.5,77,12
8821,BOTANIC 3,Coastal Botanical Gardens,Y,N,Y,Y,Y,3,6.2,6.03,12.7,7.4,3.4,3.8,231,397,6590,61,0.6,0.13,8.6,11,60,10,1.4,14.5,2.1,11.3,86.6,0
All other nutrients were measured by ICP-OES. Exchangeable acidity at current soil pH was calculated from water and buffer pH. Effective cation exchange capacity (ECEC) is estimated by summation of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and determined colorimetrically by Flow Injection Analysis. All other nutrients were extracted in pH 4.8 ammonium acetate (modified Morgan solution). P was determined colorimetrically by Flow Injection Analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assistant Scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"base cations plus acidity. Major nutrients are reported as pounds per acre, all others as milligrams per kilogram (parts per million) on a weight basis. Divide lb/A values by 2 to obtain mg/kg levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Hoskins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soil pH was measured in distilled water and Mehlich buffer solution. Organic matter was measured by loss on ignition at 375 C. Nitrate and ammonium nitrogen were extracted in potassium chloride solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(lbs/acre),(mg/kg),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,(ppm),,,,,,,,,,,,,,,,,,,,
